term,coef,se,df_t
const,2.3997534262030302,0.04076230765073096,619
z_disc,-0.29123079074931135,0.022670410573044645,619
z_clarity,0.9543157462258922,0.036089457784440074,619
z_len_chars,-0.045111621297010324,0.017752057288589286,619
