bA,bB
-0.6896276195188801,-0.7975566436545669
-0.7585354936960288,-0.7339551907239111
-0.7841848916044172,-0.7107694040945386
-0.7938594897714337,-0.6996216470683618
-0.7273929256036644,-0.7665970095309107
-0.7055615525366068,-0.7905017577832023
-0.7739992349383377,-0.718154962772531
-0.7349929878658258,-0.7583085071591816
-0.7734279431842397,-0.7194819169260502
-0.7788257295016995,-0.7147069224746649
