bin_lo,bin_hi,count
-0.7767990781663939,-0.48705741070568587,20502
-0.48705741070568587,-0.1973157432449778,0
-0.1973157432449778,0.09242592421573026,15512
0.09242592421573026,0.3821675916764383,0
0.3821675916764383,0.6719092591371464,0
0.6719092591371464,0.9616509265978544,5049
0.9616509265978544,1.2513925940585624,0
1.2513925940585624,1.5411342615192707,0
1.5411342615192707,1.830875928979979,2686
1.830875928979979,2.120617596440687,0
2.120617596440687,2.4103592639013947,1308
2.4103592639013947,2.700100931362103,0
2.700100931362103,2.9898425988228112,0
2.9898425988228112,3.2795842662835186,672
3.2795842662835186,3.569325933744227,0
3.569325933744227,3.859067601204935,0
3.859067601204935,4.1488092686656435,308
4.1488092686656435,4.438550936126352,0
4.438550936126352,4.728292603587059,0
4.728292603587059,5.0180342710477674,115
5.0180342710477674,5.307775938508476,0
5.307775938508476,5.597517605969183,46
5.597517605969183,5.887259273429891,0
5.887259273429891,6.1770009408906,0
6.1770009408906,6.466742608351308,12
6.466742608351308,6.756484275812016,0
6.756484275812016,7.046225943272724,0
7.046225943272724,7.335967610733431,3
7.335967610733431,7.625709278194139,0
7.625709278194139,7.915450945654848,1
