term,coef,se,df_t
const,2.3892940924049633,0.040383522187174815,619
z_disc,0.26434117297771553,0.022760543907374232,619
z_clarity,0.9270915321067431,0.035055435244376904,619
z_len_chars,-0.05043929069367547,0.01770928934759515,619
