bin_lo,bin_hi,count
-1.4269616652285404,-1.2252000320128809,1382
-1.2252000320128809,-1.0234383987972213,5641
-1.0234383987972213,-0.8216767655815617,5757
-0.8216767655815617,-0.6199151323659021,4578
-0.6199151323659021,-0.41815349915024247,2548
-0.41815349915024247,-0.21639186593458293,2567
-0.21639186593458293,-0.014630232718923386,3075
-0.014630232718923386,0.18713140049673616,2599
0.18713140049673616,0.3888930337123957,2959
0.3888930337123957,0.5906546669280555,2823
0.5906546669280555,0.7924163001437148,2207
0.7924163001437148,0.9941779333593745,2163
0.9941779333593745,1.1959395665750339,1659
1.1959395665750339,1.3977011997906936,1598
1.3977011997906936,1.599462833006353,1066
1.599462833006353,1.8012244662220127,1068
1.8012244662220127,2.0029860994376723,718
2.0029860994376723,2.204747732653332,479
2.204747732653332,2.406509365868992,410
2.406509365868992,2.6082709990846515,306
2.6082709990846515,2.8100326323003104,196
2.8100326323003104,3.01179426551597,121
3.01179426551597,3.21355589873163,107
3.21355589873163,3.4153175319472897,92
3.4153175319472897,3.6170791651629495,37
3.6170791651629495,3.8188407983786083,30
3.8188407983786083,4.020602431594268,12
4.020602431594268,4.222364064809928,9
4.222364064809928,4.424125698025588,5
4.424125698025588,4.6258873312412465,2
