rep,split,block,stat,df,p_chi2,reject
0,train,A5_outcome_base,2.446945605811673,2,0.2942066689744026,False
0,train,A2_outcome_disc,4.075601772578724,2,0.1303149734458975,False
0,train,A2_outcome_clarity,3.270905175876326,2,0.19486415817102087,False
0,train,A2_outcome_len,2.6711069270431604,2,0.26301256730362543,False
0,train,A2_outcome_full,20.023807192237893,6,0.0027425028587638733,True
0,train,A5_outcome|A2_outcome_full,1.005270539882205,2,0.6049343919187962,False
0,test,A5_outcome_base,2.2852977440267543,2,0.31897298317879097,False
0,test,A2_outcome_disc,0.4184321300137448,2,0.8112199404645049,False
0,test,A2_outcome_clarity,1.8628755036438989,2,0.393986847657256,False
0,test,A2_outcome_len,0.025627154713700296,2,0.9872681670070811,False
0,test,A2_outcome_full,5.379865643296027,6,0.49609379789498687,False
0,test,A5_outcome|A2_outcome_full,0.23195284987240575,2,0.8904962165551293,False
1,train,A5_outcome_base,6.906758210961435,2,0.031638545561676334,True
1,train,A2_outcome_disc,5.33945467020094,2,0.06927111053495427,False
1,train,A2_outcome_clarity,10.792666654106403,2,0.0045331721664744196,True
1,train,A2_outcome_len,3.4719437896745227,2,0.17622884112741932,False
1,train,A2_outcome_full,19.827742908614898,6,0.0029717951505727758,True
1,train,A5_outcome|A2_outcome_full,4.384399905831134,2,0.11167080766835313,False
1,test,A5_outcome_base,0.2611675866431838,2,0.8775829542770456,False
1,test,A2_outcome_disc,3.1841546094934197,2,0.20350243577786742,False
1,test,A2_outcome_clarity,2.4496693937199225,2,0.29380626340751137,False
1,test,A2_outcome_len,0.5980720766156238,2,0.7415326853703004,False
1,test,A2_outcome_full,10.623606302934963,6,0.10072952981064587,False
1,test,A5_outcome|A2_outcome_full,1.2240204723737598,2,0.5422597026139208,False
2,train,A5_outcome_base,5.9777923357083855,2,0.050342976260301264,False
2,train,A2_outcome_disc,4.054201236837916,2,0.13171686550370243,False
2,train,A2_outcome_clarity,9.85775755528669,2,0.007234610342475745,True
2,train,A2_outcome_len,0.4690086687287413,2,0.7909628055629456,False
2,train,A2_outcome_full,12.464124161027287,6,0.05238044926110341,False
2,train,A5_outcome|A2_outcome_full,0.04809227764007822,2,0.976240666126378,False
2,test,A5_outcome_base,0.08832640916475545,2,0.9567977909459556,False
2,test,A2_outcome_disc,0.05758756349893996,2,0.9716168089270752,False
2,test,A2_outcome_clarity,3.0326210759878993,2,0.2195203065490644,False
2,test,A2_outcome_len,1.068014448156146,2,0.5862510172288032,False
2,test,A2_outcome_full,9.963569343139879,6,0.126194600867359,False
2,test,A5_outcome|A2_outcome_full,4.713113444048381,2,0.09474589864508354,False
3,train,A5_outcome_base,0.7216625778545366,2,0.6970965964611384,False
3,train,A2_outcome_disc,11.137867729188653,2,0.0038145450870448183,True
3,train,A2_outcome_clarity,7.114500246477091,2,0.028517135600684917,True
3,train,A2_outcome_len,0.5457702682763933,2,0.7611802162290823,False
3,train,A2_outcome_full,19.989076091291633,6,0.0027818214592467694,True
3,train,A5_outcome|A2_outcome_full,4.8343338905891216,2,0.08917389445467383,False
3,test,A5_outcome_base,1.8041758320415435,2,0.4057216620165466,False
3,test,A2_outcome_disc,0.2993135759086912,2,0.8610034324694942,False
3,test,A2_outcome_clarity,1.2070211114994378,2,0.5468883800733484,False
3,test,A2_outcome_len,0.590615269426967,2,0.7443025789316133,False
3,test,A2_outcome_full,10.58226261361683,6,0.10217745420277313,False
3,test,A5_outcome|A2_outcome_full,1.0624947707061438,2,0.5878712101959911,False
4,train,A5_outcome_base,1.3264106418019272,2,0.5151973123585487,False
4,train,A2_outcome_disc,4.333118001064198,2,0.11457117876460765,False
4,train,A2_outcome_clarity,14.866090438282315,2,0.000591383873572604,True
4,train,A2_outcome_len,2.9376535235051535,2,0.23019540086674073,False
4,train,A2_outcome_full,18.21721212060773,6,0.005711690451941753,True
4,train,A5_outcome|A2_outcome_full,5.329673112865507,2,0.06961073002957074,False
4,test,A5_outcome_base,1.9094329212460577,2,0.3849212694185631,False
4,test,A2_outcome_disc,2.328042370562894,2,0.31222812599721816,False
4,test,A2_outcome_clarity,0.6743996243691369,2,0.71376620646826,False
4,test,A2_outcome_len,1.7172630020396167,2,0.4237415756234162,False
4,test,A2_outcome_full,6.080020265487454,6,0.414286171239591,False
4,test,A5_outcome|A2_outcome_full,0.3446548860148031,2,0.8417035181089919,False
5,train,A5_outcome_base,0.7613780347855451,2,0.6833903790997675,False
5,train,A2_outcome_disc,2.980709516187281,2,0.22529271694607078,False
5,train,A2_outcome_clarity,0.384935685500606,2,0.824920844962679,False
5,train,A2_outcome_len,7.392841300504381,2,0.02481217918345946,True
5,train,A2_outcome_full,19.0924513634537,6,0.00401031293159404,True
5,train,A5_outcome|A2_outcome_full,0.16672025425795015,2,0.9200197634775468,False
5,test,A5_outcome_base,2.5018135871990737,2,0.2862451139013774,False
5,test,A2_outcome_disc,0.5653629091937687,2,0.753759856358625,False
5,test,A2_outcome_clarity,1.0803582022160911,2,0.582643890862188,False
5,test,A2_outcome_len,1.3651396660960047,2,0.5053167427037799,False
5,test,A2_outcome_full,2.425392883717644,6,0.8767221678535123,False
5,test,A5_outcome|A2_outcome_full,0.3156891125610713,2,0.8539825178706687,False
6,train,A5_outcome_base,2.384025305272976,2,0.30360958808961835,False
6,train,A2_outcome_disc,17.59590721077258,2,0.00015104185027858819,True
6,train,A2_outcome_clarity,8.795073949080393,2,0.012307616574628755,True
6,train,A2_outcome_len,0.4558927551617149,2,0.7961669510887981,False
6,train,A2_outcome_full,26.205758205713384,6,0.00020382412466957156,True
6,train,A5_outcome|A2_outcome_full,1.5478169637373664,2,0.4612069220729408,False
6,test,A5_outcome_base,0.32773852618346877,2,0.8488529910417869,False
6,test,A2_outcome_disc,1.235807212743792,2,0.539073363809327,False
6,test,A2_outcome_clarity,0.7635057350479278,2,0.6826637407409967,False
