condition,n,acc,lo,hi
close,7077,0.8560124346474495,0.8476397449740024,0.863998840539426
far,6338,0.8182391921741874,0.8085530586422786,0.827539790129464
split,6585,0.7640091116173121,0.7536012804521233,0.7741090949956313
