condition,n,acc,lo,hi
close,7077,0.8560124346474495,0.8476397449740024,0.863998840539426
far,6338,0.8841905964026506,0.8760788130206723,0.8918369464038163
split,6585,0.7790432801822323,0.7688613407672391,0.7888998412202495
