condition,n,acc,lo,hi
close,7077,0.8233714850925533,0.8143118444732751,0.8320802583040541
far,6338,0.8622593878195014,0.8535552718402822,0.8705246393049438
split,6585,0.7914958238420653,0.7815153906074032,0.8011363584129966
