condition,n,acc,lo,hi
close,7077,0.4456690688144694,0.4341214952676022,0.45727559299200765
far,6338,0.7483433259703376,0.7375112513040609,0.7588745414409677
split,6585,0.5395596051632499,0.5275014110141585,0.5515716708403944
