split,block,rej,nrep,lo,hi
test,A2_outcome_full,1.0,20,0.8388748419471806,1.0
test,A2_outcome_len,0.85,20,0.6395811352592431,0.9476312541037835
test,A5_outcome_base,0.85,20,0.6395811352592431,0.9476312541037835
test,A5_outcome|A2_outcome_full,0.0,20,0.0,0.16112515805281938
train,A2_outcome_full,1.0,20,0.8388748419471806,1.0
train,A2_outcome_len,1.0,20,0.8388748419471806,1.0
train,A5_outcome_base,1.0,20,0.8388748419471806,1.0
train,A5_outcome|A2_outcome_full,0.85,20,0.6395811352592431,0.9476312541037835
