split,block,rej,nrep,lo,hi
test,A2_outcome_full,0.0,20,0.0,0.16112515805281938
test,A2_outcome_len,0.05,20,0.008881448800795402,0.23613119344674205
test,A5_outcome_base,0.05,20,0.008881448800795402,0.23613119344674205
test,A5_outcome|A2_outcome_full,0.05,20,0.008881448800795402,0.23613119344674205
train,A2_outcome_full,0.7,20,0.4810271816464765,0.8545227551323956
train,A2_outcome_len,0.05,20,0.008881448800795402,0.23613119344674205
train,A5_outcome_base,0.2,20,0.08065766257979806,0.41601743225189364
train,A5_outcome|A2_outcome_full,0.05,20,0.008881448800795402,0.23613119344674205
