term,coef,se,t,df_t
const,2.3142590610319633,0.0746907381243137,30.984552022771002,619
cond_far,0.30877317965622186,0.11931507718843935,2.5878806512320596,619
cond_split,0.09808677391145676,0.06453821496497857,1.5198247110596907,619
z_abs_t1,0.7796248153878353,0.08288296940485362,9.4063330619786,619
z_abs_t2,0.48584847570728573,0.0466843799756879,10.407088537114639,619
z_d12,-0.224269383266012,0.03718152226958862,-6.031742908209158,619
z_len_chars,-0.04883298767572649,0.017105031699922994,-2.854890217826742,619
z_abs_t1_x_abs_t2,-0.08473852796536575,0.062017106633307124,-1.366373450254704,619
