metric,q025,q500,q975
ratio_offsets,0.30457440283432763,0.34987244402806905,0.3959508850921553
ratio_geometry,0.5617907224861356,0.6073105699198067,0.6621112169493754
ratio_decoder,0.019423324200698727,0.042103901232169574,0.06729318509005294
