term,coef,se,t,df_t
const,3.509657627135377,0.17362411078992418,20.214114336815086,619
z_disc,-0.46329017140360973,0.18162934406271183,-2.550745166175614,619
z_clarity,1.6390629375143932,0.260374558373793,6.295019558559785,619
z_len_chars,0.011448713731775511,0.020019747990680396,0.5718710214087172,619
cond_far,2.347530250623702,0.29538669641334075,7.947312045965517,619
cond_split,-0.1506287805412569,0.19108072394813794,-0.7882991932882759,619
z_disc_x_far,-0.20323639156965334,0.3203732567648148,-0.6343737727111494,619
z_disc_x_split,-0.8298021239683501,0.2186240485069475,-3.79556654281782,619
z_clarity_x_far,-0.6878703327658944,0.3882470211320096,-1.7717337038679004,619
z_clarity_x_split,-1.207998589900057,0.27048694392370737,-4.466014412291859,619
z_len_chars_x_far,-0.7021993624429637,0.10419569532528328,-6.739235822082697,619
z_len_chars_x_split,-0.038545077781602224,0.04084209884074317,-0.9437584961512926,619
