n_obs,component,log_sd_mean,log_sd_sd,sd_mean_approx,sd_sd_delta
44538,worker,-3.249729705051184,0.028484360685931562,0.03878468972078029,0.001104757091098648
44538,game,-0.3849826908598976,0.02423766950520078,0.6804624143219167,0.01649282310904562
