disc_variant,split,metric,ll_base,ll_full,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder,bootstrap_cluster_col
original__logit__base,test,log_likelihood (nats),-3865.716486797587,-3594.9485380229917,270.7679487745954,97.29453198962179,161.88490900866046,11.58850777631316,0.35932809784150627,0.5978732333028967,0.042798668855596994,worker
original__logit__base,test,log_likelihood (nats),-3865.716486797587,-3594.9485380229917,270.7679487745954,97.29453198962179,161.88490900866046,11.58850777631316,0.35932809784150627,0.5978732333028967,0.042798668855596994,game
original__logit__geom_int,test,log_likelihood (nats),-3865.716486797587,-3575.9730236427235,289.74346315486355,101.6097681032808,176.86562546341852,11.268069588164204,0.35068873339507195,0.6104214519203371,0.038889814684590795,worker
original__logit__geom_int,test,log_likelihood (nats),-3865.716486797587,-3575.9730236427235,289.74346315486355,101.6097681032808,176.86562546341852,11.268069588164204,0.35068873339507195,0.6104214519203371,0.038889814684590795,game
original__logit__full_int,test,log_likelihood (nats),-3865.716486797587,-3569.770818089505,295.94566870808194,99.62115350178745,175.33542744529638,20.989087760998093,0.3366197381319097,0.5924581637254696,0.07092209814262068,worker
original__logit__full_int,test,log_likelihood (nats),-3865.716486797587,-3569.770818089505,295.94566870808194,99.62115350178745,175.33542744529638,20.989087760998093,0.3366197381319097,0.5924581637254696,0.07092209814262068,game
original__probit__base,test,log_likelihood (nats),-3865.7164867976007,-3604.0289413117753,261.68754548582547,97.34178368370824,151.74949405302556,12.596267749091641,0.37197713595040327,0.5798881019396668,0.04813476210992979,worker
original__probit__base,test,log_likelihood (nats),-3865.7164867976007,-3604.0289413117753,261.68754548582547,97.34178368370824,151.74949405302556,12.596267749091641,0.37197713595040327,0.5798881019396668,0.04813476210992979,game
original__probit__geom_int,test,log_likelihood (nats),-3865.7164867976007,-3576.642939079935,289.07354771766586,102.15980936024584,174.89833483742746,12.015403519992558,0.3534042120658647,0.6050305751540028,0.04156521278013247,worker
original__probit__geom_int,test,log_likelihood (nats),-3865.7164867976007,-3576.642939079935,289.07354771766586,102.15980936024584,174.89833483742746,12.015403519992558,0.3534042120658647,0.6050305751540028,0.04156521278013247,game
original__probit__full_int,test,log_likelihood (nats),-3865.7164867976007,-3570.587367697339,295.12911910026196,99.28539707308164,172.6644195871943,23.17930243998603,0.3364134226258852,0.5850470469114785,0.07853953046263627,worker
original__probit__full_int,test,log_likelihood (nats),-3865.7164867976007,-3570.587367697339,295.12911910026196,99.28539707308164,172.6644195871943,23.17930243998603,0.3364134226258852,0.5850470469114785,0.07853953046263627,game
