disc_variant,split,cluster_spec,n_obs,n_clusters,A2_outcome_disc_wald_chi2,A2_outcome_disc_df,A2_outcome_disc_p,A2_outcome_clarity_wald_chi2,A2_outcome_clarity_df,A2_outcome_clarity_p,A2_outcome_len_wald_chi2,A2_outcome_len_df,A2_outcome_len_p,A2_outcome_full_wald_chi2,A2_outcome_full_df,A2_outcome_full_p,A5_outcome_base_wald_chi2,A5_outcome_base_df,A5_outcome_base_p,A5_outcome_given_A2_outcome_full_wald_chi2,A5_outcome_given_A2_outcome_full_df,A5_outcome_given_A2_outcome_full_p,A2_outcome_full_lr_chi2,A2_outcome_full_lr_df,A2_outcome_full_lr_p,log_scale_far,log_scale_split,log_scale_far_p,log_scale_split_p,converged_base,converged_full
original,train,worker,46214,620,15.922677380742966,2,0.0003486860222609885,23.087858370577187,2,9.694719663249565e-06,45.68628375220816,2,1.200465086554918e-10,78.83951241545661,6,6.203553460014428e-15,244.9401300762753,2,6.485247509757221e-54,114.46023260153368,2,1.3972569931372665e-25,67.26974695735407,6,1.4822421318184156e-12,0.8037035363209035,0.2582948121786748,1.0990192039689545e-06,0.03562202802872221,True,True
original,test,worker,11490,156,5.513159169501373,2,0.06350862314458104,9.038554005314912,2,0.010896899250399014,23.90054625125398,2,6.4574689159262225e-06,40.69524941193695,6,3.3247571772928065e-07,194.47384524498884,2,5.8957772613607626e-43,75.25806104578776,2,4.549039255387437e-17,27.338904496524265,6,0.00012509605305506582,1.3501150237058195,0.46215581978547726,0.004044796945532889,0.16445813827884523,True,True
