term,coef,se,t,df_t
const,1.365562349117504,0.03891028423853984,35.0951522416519,862
cond_far,-0.03422430672629323,0.0677589429375563,-0.5050891475363314,862
cond_split,0.05545213002813848,0.036449751114664995,1.5213308275739685,862
z_disc,-0.35965993977930055,0.04425853339093439,-8.1263411194048,862
z_abs_t1,0.11665071918600882,0.03506154544523785,3.327027308827672,862
z_abs_t2,0.12868026743907934,0.025685233004979085,5.009892937865685,862
z_d12,-0.01731511241884802,0.022032938888476423,-0.7858739365861037,862
z_len_chars,-0.026208779366901684,0.009590090118907555,-2.732902302474633,862
