term,coef,se,t,df_t
const,2.304385297303751,0.07215624209012862,31.936049197592617,862
cond_far,0.2845976284634946,0.12149588759140555,2.342446597209984,862
cond_split,0.11748136232373771,0.06852364181889409,1.7144646607405571,862
z_abs_t1,0.7889386187578629,0.08601065123061111,9.172568832696856,862
z_abs_t2,0.4998968694595204,0.05116106666433641,9.771040794346666,862
z_d12,-0.2049777495630572,0.04181721305484884,-4.90175539183354,862
z_len_chars,-0.049427023608847806,0.01684360131367155,-2.9344688637773126,862
