disc_variant,split,link,cluster_col,n_obs,n_clusters,A2_outcome_disc_block_wald_chi2,A2_outcome_disc_block_p,A2_outcome_full_block_wald_chi2,A2_outcome_full_block_p,A5_outcome_base_block_wald_chi2,A5_outcome_base_block_p,A5_outcome_given_A2_outcome_full_block_wald_chi2,A5_outcome_given_A2_outcome_full_block_p,status
original,train,logit,worker,46214,620,36.469162364365566,1.2045421807588414e-08,103.05184298036868,5.78697184916963e-20,5.215237316096949,0.07370986332206672,24.84079778924022,4.035425156542984e-06,OK
original,test,logit,worker,11490,156,21.327395159431436,2.33784107331624e-05,55.672761550216904,3.389900150629098e-10,0.1629826346329225,0.9217407130020586,14.646709348839565,0.000659944594351579,OK
original,train,logit,game,46214,863,27.44535865811629,1.0972765310795349e-06,83.97053793842048,5.393536785472026e-16,4.825714121997382,0.08955905302021555,17.721298542741653,0.00014186292671824547,OK
original,test,logit,game,11490,312,17.539162721020723,0.00015538861884625054,51.41335638113469,2.4465254410473668e-09,0.12350937606406498,0.9401134795941374,13.631340551253011,0.001096458020730733,OK
original,train,probit,worker,46214,620,66.70368042338819,3.2770256049392363e-15,128.96130359377042,2.1266988840402632e-25,4.0408063404789605,0.1326019931243719,28.22079749189348,7.446148396990347e-07,OK
original,test,probit,worker,11490,156,29.934128646984163,3.161451720943136e-07,61.70018445878944,2.0304601855980266e-11,0.4370864524847776,0.8036887382495911,15.985910238967577,0.00033783426617912254,OK
original,train,probit,game,46214,863,50.052471582697436,1.3528320793044934e-11,101.75269774637026,1.0808180335322076e-19,4.226993502551922,0.12081476776102322,20.02055952135657,4.4935619935429254e-05,OK
original,test,probit,game,11490,312,25.68598620541899,2.644593732607426e-06,57.473442172919604,1.4650337234245222e-10,0.47530617649252904,0.7884761753063378,15.415226843749265,0.0004493927091456251,OK
